id,url,status,redirect_url,is_domain_for_sale,is_domain_expired,is_domain_parking,is_domain_managed,is_seo_spam,is_admin_panel
1950973,http://118mikuriya.co.jp/seika/,200,https://118mikuriya.co.jp,False,False,False,False,False,False
4661743,http://11874.jp,200,https://11874.jp/,False,False,False,False,False,False
3114078,http://12-recycle.com,200,,False,False,False,False,False,False
4719379,http://130.co.jp,200,,False,False,False,False,False,False
3555486,http://123wb.jp/,200,,False,False,False,False,False,False
2659899,http://138jigyodan.jp/wordpress/,200,,False,False,False,False,False,False
4511608,http://1341.jp,200,,False,False,False,False,False,False
37228,http://119suehiro.co.jp,200,http://www.119suehiro.co.jp/,False,False,False,False,False,False
2466121,http://1313.jp/,200,http://www.1313.jp/,False,False,True,False,False,False
3071271,http://14000koyu.co.jp/,200,,False,False,False,False,False,False
2808490,http://132base.jp,200,https://132base.jp/,False,False,False,False,False,False
4536121,http://125.jp/,200,https://125.jp/,False,False,False,False,False,False
3454299,http://150.60.12.169/index.html,200,,False,False,False,False,False,False
1711363,http://1420053c.hpbegin.jp/,403,,False,False,False,False,False,False
1386869,http://14510.com/,200,https://14510.com/,False,False,True,False,False,False
217170,http://1611mp.jp,200,,False,False,True,False,False,False
4802518,http://140-041.co.jp/,200,https://140-041.co.jp/,False,False,True,False,True,False
2846822,http://15ichigo.jp,500,,False,False,False,False,False,False
3856173,http://127.co.jp/,200,https://www.subaru-net.com/sokkai/,False,False,True,False,True,False
570577,http://16a.jp/,200,,False,False,False,False,False,False
3181118,http://1682.jp,200,,False,False,False,False,False,False
4532767,http://1771.jp,403,,False,False,False,False,False,False
1868878,http://16lab.net/,200,,False,False,False,False,False,False
4734513,http://1800.co.jp/,200,,False,False,False,False,False,False
2295094,http://1717sakura.com,200,,False,False,True,False,False,False
31354,http://184-energy.com/,200,,False,False,False,False,False,False
238303,http://15car.jp/,200,https://nichigocar.com/,False,False,False,False,False,False
1360683,http://17ya.co.jp/,200,,False,False,True,False,True,False
302316,http://1898.jp,200,http://www.1898.jp/,False,False,False,False,False,False
1816337,http://1964takeda.jp/index.html,200,,False,False,False,False,False,False
1560915,http://1946mitsuboshi.co.jp,200,,False,False,False,False,False,False
3467021,http://1950nakamura.co.jp/frame.html,200,http://1950nakamura.co.jp/,False,False,False,False,False,False
1473610,http://1930.co.jp/,200,,False,False,True,False,True,False
527103,http://1974mg6.wixsite.com/nijino84,200,https://1974mg6.wixsite.com:443/nijino84,False,False,False,False,False,False
1542819,http://198298.com/,200,,False,False,False,False,False,False
2429232,http://1and-only.com/,403,,False,False,False,False,False,False
2268006,http://1com.co.jp/,200,,False,False,False,False,False,False
4510332,http://1999group.com/,404,,False,False,False,False,False,False
3312966,http://1ba.bz,200,,False,False,False,False,False,False
2446096,http://1day-shaken.com/index.html,200,,False,False,False,False,False,False
2446453,http://1957yamasan.com/,200,https://www.1957yamasan.com/,False,False,True,False,False,False
262621,http://1alpha.co.jp,200,https://www.1alpha.co.jp/,False,False,True,False,False,False
4819095,http://1giken.co.jp,200,,False,False,False,False,False,False
1294239,http://1c-c.jp/,200,https://1c-c.jp/,False,False,False,False,False,False
348375,http://1faceup.co.jp,200,,False,False,False,False,False,False
1304438,http://1fuku.jp/business,404,,False,False,False,False,False,False
5334803,http://1excellence.com/,200,,False,False,False,False,False,False
4500363,http://1just-monthly.com/,200,,False,False,False,False,False,False
5133141,http://1k-kai.com/,200,,False,False,False,False,False,False
1541459,http://1home.co.jp,200,,False,False,False,False,False,False
155573,http://1brocade.com/,200,https://1brocade.com/,False,False,False,False,False,False
4433902,http://1ichikawa.com/,200,,False,False,False,False,False,False
4672629,http://1office.jp,200,,False,False,False,False,False,False
740647,http://1kc.jp,200,,False,False,False,False,False,False
2330162,http://1omotesando.com/index.html,200,,False,False,False,False,False,False
28578,http://1day.co.jp,200,http://www.1day.co.jp/,False,False,True,False,False,False
3165074,http://1mental-clinic.com/,200,,False,False,True,False,True,False
4358953,http://1mikoshi.co.jp,200,,False,False,False,False,False,False
3456683,http://1pg.co.jp/index.html,200,,False,False,False,False,False,False
644994,http://1st-class.co.jp/index.html,404,,False,False,False,False,False,False
790966,http://1pac.jp/,200,https://1pac.jp/ja/,False,False,False,False,False,False
2597690,http://1st-1.co.jp/,200,,False,False,False,False,False,False
3091200,http://1rodori.co.jp,200,https://1rodori.co.jp/,False,False,False,False,False,False
4487672,http://1rinnohana.com,200,https://1rinnohana.com/72933/,False,False,False,False,False,False
3100383,http://1plus-design.com/,200,,False,False,True,False,False,False
4465939,http://1nterlink.co.jp/,200,https://www.1nterlink.co.jp/,False,False,True,False,True,False
3519115,http://1kou.com/index.php,200,https://www.1kou.com/,False,False,False,False,False,False
5089008,http://1st-solution.jp,200,,False,False,True,False,False,False
570001,http://1st-kiwa.com/,200,https://1st-kiwa.com/,False,False,False,False,False,False
4125711,http://1st-plan.co.jp,200,,False,False,False,False,False,False
4520205,http://1stinvestors.jp,200,,False,False,False,False,False,False
763206,http://1stjapan.co.jp,200,,False,False,False,False,False,False
5245149,http://1soyokaze.sakura.ne.jp?,200,https://www.soyokaze.site/,False,False,False,False,False,False
1223570,http://1ststep.co.jp/,200,,False,False,False,False,False,False
